date,name,value
2020-12-08,lavington,15
2020-12-08,kakamega,2
2020-12-08,ngara,6
2020-12-08,homa bay,1
2020-12-08,ruai,3
2020-12-08,kitui,8
2020-12-08,githurai 44,2
2020-12-08,bomet,1
2020-12-08,buruburu,6
2020-12-08,south b,3
2020-12-08,huruma,2
2020-12-08,lower kabete,12
2020-12-08,lucky summer,19
2020-12-08,ruaka,76
2020-12-08,kinoo,18
2020-12-08,canaan estate,1
2020-12-08,busia,2
2020-12-08,thogoto,2
2020-12-08,membley,3
2020-12-08,wajir,1
2020-12-08,mountain view,1
2020-12-08,kiambu town,1
2020-12-08,lenana road,1
2020-12-08,ruiru,47
2020-12-08,jamhuri estate,1
2020-12-08,donholm,9
2020-12-08,embu,4
2020-12-08,akiba,2
2020-12-08,riverside,10
2020-12-08,dandora,3
2020-12-08,dennis pritt,1
2020-12-08,denis pritt,3
2020-12-08,isiolo,1
2020-12-08,muranga,6
2020-12-08,pangani,8
2020-12-08,buru,2
2020-12-08,githunguri,5
2020-12-08,siaya,9
2020-12-08,rongai,17
2020-12-08,kangemi,17
2020-12-08,kitengela,12
2020-12-08,kabiria,2
2020-12-08,zimmerman,3
2020-12-08,githurai 45,7
2020-12-08,mishomoroni,2
2020-12-08,trm,1
2020-12-08,bungoma,6
2020-12-08,kabati,2
2020-12-08,mlolongo,1
2020-12-08,langata,26
2020-12-08,lodwar,1
2020-12-08,lamu,1
2020-12-08,pipeline,5
2020-12-08,mtwapa,5
2020-12-08,nkoroi,1
2020-12-08,juja,27
2020-12-08,kisii,13
2020-12-08,buru buru,1
2020-12-08,kileleshwa,30
2020-12-08,garissa,6
2020-12-08,nyayo estate,4
2020-12-08,muchatha,2
2020-12-08,kahawa west,2
2020-12-08,mamboleo,1
2020-12-08,meru,8
2020-12-08,kariobangi south,13
2020-12-08,muthaiga,1
2020-12-08,kahawa wendani,7
2020-12-08,umoja 1,1
2020-12-08,madaraka,13
2020-12-08,ndenderu,2
2020-12-08,wangige,11
2020-12-08,westlands,6
2020-12-08,kajiado,1
2020-12-08,riruta,4
2020-12-08,katani,6
2020-12-08,nyeri,6
2020-12-08,vihiga,7
2020-12-08,syokimau,5
2020-12-08,ongata rongai,2
2020-12-08,kabarnet,1
2020-12-08,watamu,1
2020-12-08,lenana rd,2
2020-12-08,kilifi,4
2020-12-08,matasia,1
2020-12-08,kingeero,2
2020-12-08,ngumo,8
2020-12-08,utawala,8
2020-12-08,komarock,7
2020-12-08,nrb west,2
2020-12-08,limuru,27
2020-12-09,webuye,3
2020-12-09,lucky summer,21
2020-12-09,lavington,15
2020-12-09,fedha,3
2020-12-09,akiba,2
2020-12-09,oloitoktok road,3
2020-12-09,vihiga,8
2020-12-09,greenspan mall,1
2020-12-09,rosslyn,3
2020-12-09,dagoretti corner,1
2020-12-09,ruiru,47
2020-12-09,garissa,8
2020-12-09,madaraka,13
2020-12-09,katani,6
2020-12-09,kilifi,5
2020-12-09,donholm,9
2020-12-09,south c,88
2020-12-09,kitengela,14
2020-12-09,lower kabete,12
2020-12-09,roysambu,8
2020-12-09,gikambura,7
2020-12-09,kiserian,2
2020-12-09,kisii,13
2020-12-09,nrb west,2
2020-12-09,canaan estate,1
2020-12-09,kileleshwa,30
2020-12-09,manyatta,2
2020-12-09,pangani,8
2020-12-09,kasa,3
2020-12-09,ngong town,3
2020-12-09,huruma,3
2020-12-09,meru,8
2020-12-09,87 kinoo,1
2020-12-09,lenana road,1
2020-12-09,nairobi dam estate,1
2020-12-09,limuru,28
2020-12-09,thogoto,2
2020-12-09,buru buru phase 1,2
2020-12-09,kirigiti,9
2020-12-09,kariobangi south,13
2020-12-09,loresho,4
2020-12-09,githurai 45,9
2020-12-09,joyland,9
2020-12-09,lenana rd,2
2020-12-09,jamhuri estate,2
2020-12-09,nairobi west,27
2020-12-09,watamu,1
2020-12-09,kangemi,17
2020-12-09,milimani, kisumu,2
2020-12-09,umoja 2,1
2020-12-09,muthaiga,1
2020-12-09,kikuyu,17
2020-12-09,wajir,1
2020-12-09,kayole,13
2020-12-09,muthiga,8
2020-12-09,gatundu,3
2020-12-09,ndenderu,2
2020-12-09,karen,11
2020-12-09,ngara,6
2020-12-09,mtwapa,5
2020-12-09,bungoma,8
2020-12-09,usiu,5
2020-12-09,mwimuto,2
2020-12-09,buruburu phase 1,3
2020-12-09,kawangware,2
2020-12-09,ngumo,8
2020-12-09,kahawa sukari,3
2020-12-09,mishomoroni,2
2020-12-09,pipeline,5
2020-12-09,githunguri,5
2020-12-09,imara daima,11
2020-12-09,riverside,10
2020-12-09,mountain view,1
2020-12-09,nanyuki,6
2020-12-09,parklands,3
2020-12-09,nyali,11
2020-12-09,kenol,3
2020-12-09,athi river,4
2020-12-09,homa bay,2
2020-12-09,syokimau,6
2020-12-09,buruburu,6
2020-12-09,embu,6
2020-12-09,mamboleo,1
2020-12-09,nkoroi,2
2020-12-09,tassia,11
2020-12-09,bamburi,4
2020-12-09,membley,3
2020-12-09,nakuru,13
2020-12-09,kingeero,2
2020-12-09,mlolongo,3
2020-12-09,langata,28
2020-12-09,utawala,8
2020-12-09,kahawa wendani,7
2020-12-09,dennis pritt,1
2020-12-09,riara road,1
2020-12-09,south b,4
2020-12-09,stage mpya,3
2020-12-09,umoja 1,1
